municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
Momil,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Moniquirá,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Montería,1,0.0,100.0,0,0,0,0,0,0,0,2,0,2
Ibagué,1,49.35,44.16,3,0,0,0,2,0,0,0,5,10
Inzá,1,100.0,0.0,1,0,0,0,0,0,0,0,0,1
Jamundí,1,0.0,100.0,0,1,0,0,0,0,4,5,0,10
Juradó - Costa,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0
La Ceja,1,0.0,100.0,1,0,0,0,0,0,1,0,0,2
La Cumbre,1,100.0,0.0,0,0,0,0,0,0,1,0,0,1
La Estrella,1,0.0,100.0,0,0,0,0,0,0,1,0,0,1
La Jagua de Ibirico,1,0.0,100.0,10,5,9,1,0,0,14,4,7,50
La Jagua del Pilar,1,100.0,0.0,0,2,2,0,0,0,2,0,4,10
Murillo,1,0.0,100.0,5,0,0,0,0,0,0,0,0,5
Nariño,1,100.0,0.0,2,0,2,0,0,0,2,0,0,6
Necoclí,1,0.0,100.0,0,0,5,0,0,2,1,0,0,8
Neira,1,100.0,0.0,0,0,0,0,0,0,0,0,3,3
Nocaima,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Norosí,1,0.0,0.0,6,3,40,9,11,40,55,65,15,244
Nunchía,1,100.0,0.0,3,0,0,0,0,1,0,0,1,5
Orocué,1,0.0,100.0,2,1,1,0,0,0,0,4,12,20
Pachavita,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Guaca,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Guacarí,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Guadalupe,1,0.0,100.0,0,0,0,0,0,0,0,2,0,2
Guapi,1,0.0,100.0,10,16,16,32,32,174,29,7,26,342
Guayabal de Síquima,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Guayabetal,1,100.0,0.0,1,0,0,0,0,0,0,0,0,1
Guática,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Herrán,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Paratebueno,1,0.0,0.0,1,0,0,0,0,0,0,0,0,1
Pasca,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Paya,1,100.0,0.0,6,0,1,0,0,3,0,0,4,14
Pedraza,1,0.0,0.0,0,0,0,0,0,0,4,0,0,4
Pensilvania,1,100.0,0.0,1,0,0,0,0,0,2,2,17,22
Peque,1,57.14,28.57,0,0,0,2,0,0,1,1,0,4
Pesca,1,0.0,100.0,0,0,0,0,0,0,0,0,1,1
Piojó,1,0.0,100.0,0,0,1,0,0,5,0,0,0,6
Pivijay,1,33.33,66.67,0,0,0,0,0,0,0,8,0,8
Planadas,1,100.0,0.0,6,0,0,6,0,0,0,0,4,16
Facatativá,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Filadelfia,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Floridablanca,1,100.0,0.0,0,0,0,0,0,2,0,0,0,2
Funza,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Fusagasugá,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Gachalá,1,0.0,100.0,13,0,0,0,0,0,0,0,0,13
Galeras,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Girardota,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Providencia y Santa Catalina,1,86.96,8.7,0,0,0,0,0,0,0,0,0,0
Providencia y Santa Catalina - Costa,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Puebloviejo,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Puerto Asís,1,100.0,0.0,251,91,460,670,419,869,530,210,288,3788
Puerto Leguízamo,1,0.0,100.0,259,134,519,812,500,622,455,780,766,4847
Quebradanegra,1,0.0,100.0,0,0,0,0,1,0,0,0,0,1
Quimbaya,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Quinchía,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Restrepo,1,100.0,0.0,3,0,0,0,0,0,0,0,0,3
Ricaurte,1,100.0,0.0,13,24,6,2,2,32,136,31,17,263
Rio Quito,1,100.0,0.0,117,116,10,3,3,27,32,21,20,349
Rio de Oro,1,80.0,20.0,0,0,0,0,0,1,2,0,0,3
Roncesvalles,1,33.33,33.33,1,0,0,0,0,0,0,0,0,1
Rondón,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Rovira,1,100.0,0.0,0,0,0,1,0,0,0,0,2,3
Ríofrío,1,20.0,80.0,1,3,0,0,0,0,2,0,2,8
Sabana de Torres,1,75.0,25.0,10,2,16,8,8,132,232,222,162,792
Saboyá,1,0.0,100.0,0,0,1,0,0,0,0,0,0,1
ETI Bajo Río Caquetá,1,75.0,25.0,0,0,7,68,3,10,60,30,27,205
ETI Yaigojé Apaporis,1,100.0,0.0,0,0,14,224,53,30,125,80,53,579
Ebéjico,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
El Banco,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
El Cairo,1,0.0,100.0,0,0,0,1,0,0,0,0,1,2
El Carmen de Bolívar,1,0.0,100.0,0,160,110,108,22,121,343,72,37,973
El Dovio,1,0.0,0.0,0,0,0,1,0,0,1,0,0,2
El Guamo,1,0.0,0.0,0,2,4,5,8,14,45,19,67,164
El Litoral del San Juán,1,100.0,0.0,49,14,8,6,7,15,28,18,9,154
El Peñón,1,100.0,0.0,1,0,12,3,9,26,40,31,33,155
El Rosal,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Saladoblanco,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Salamina,1,33.33,66.67,1,0,0,0,0,0,0,0,0,1
Salgar,1,0.0,100.0,0,2,0,0,1,2,6,0,0,11
San Alberto,1,50.0,50.0,0,6,6,1,1,2,6,27,2,51
San Andrés,1,0.0,100.0,0,0,0,0,0,1,1,1,0,3
San Benito Abad,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
San Cayetano,1,0.0,100.0,1,0,0,0,0,3,16,3,9,32
San Jacinto,1,60.0,20.0,1,61,116,29,5,61,104,32,75,484
San Jacinto del Cauca,1,0.0,100.0,9,4,2,6,8,13,11,5,16,74
Colombia,1,100.0,0.0,10,1,0,0,1,0,0,0,0,12
Colosó,1,100.0,0.0,3,8,7,2,3,7,28,5,9,72
Concordia,1,100.0,0.0,0,0,0,0,0,1,1,0,0,2
Consacá,1,100.0,0.0,5,0,0,0,0,0,0,0,0,5
Cota,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Cravo Norte,1,100.0,0.0,4,0,1,1,0,0,0,0,0,6
Cubará,1,100.0,0.0,3,0,4,0,1,7,18,38,52,123
Cáceres,1,100.0,0.0,40,91,79,34,10,187,46,23,39,549
Cáchira,1,0.0,100.0,3,1,0,0,6,33,51,17,34,145
Córdoba,1,66.67,33.33,0,0,0,0,0,5,16,2,6,29
Duitama,1,100.0,0.0,0,0,0,0,0,0,0,6,0,6
San José del Palmar,1,100.0,0.0,3,47,13,8,19,47,34,38,25,234
San Marcos,1,0.0,50.0,0,0,0,0,0,0,0,0,0,0
San Martín,1,0.0,100.0,23,4,32,2,2,18,14,1,5,101
San Martín de Loba,1,0.0,0.0,0,0,67,1,6,2,68,4,2,150
Cereté,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Cerinza,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Chalán,1,100.0,0.0,1,5,4,3,4,1,29,4,9,60
Chaparral,1,100.0,0.0,1,0,3,0,0,1,0,0,39,44
Charalá,1,100.0,0.0,1,0,0,0,0,4,4,6,0,15
Chima,1,0.0,100.0,0,0,0,0,0,0,0,2,1,3
Chinavita,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Chinú,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Ciénaga,1,90.91,0.0,45,47,85,61,11,17,57,7,42,372
Ciénaga de Oro,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0
Santa Rosa del Sur,1,100.0,0.0,26,49,15,118,22,152,120,81,267,850
Santo Domingo,1,0.0,100.0,0,0,2,0,1,0,0,0,0,3
Santuario,1,0.0,100.0,0,0,0,0,0,0,1,0,0,1
Silvania,1,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Caicedonia,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Calima,1,50.0,50.0,2,0,0,0,1,8,1,2,7,21
Campohermoso,1,100.0,0.0,0,0,0,1,0,0,0,0,1,2
Canalete,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0
Caparrapí,1,50.0,50.0,0,0,0,0,1,0,0,3,0,4
Caramanta,1,33.33,66.67,0,0,0,0,0,0,0,0,0,0
Carmen del Darién,1,100.0,0.0,125,295,50,67,48,111,79,55,177,1007
Carolina,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Cartagena de Indias,1,100.0,0.0,0,0,0,1,0,9,0,1,5,16
Cartago,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Simacota,1,50.0,50.0,7,2,2,2,5,78,106,75,64,341
Sincelejo,1,60.0,40.0,0,0,0,2,0,0,0,0,0,2
Sincé,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Sipí,1,100.0,0.0,6,1,8,6,5,62,34,20,11,153
Soacha,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
