municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,pred_alertas_2026
Manaure Balcón del Cesar,1,100.0,0.0,0,1,1,3,0,0,0,3,0,8,17.54
Vélez,1,100.0,0.0,0,0,0,1,2,30,36,14,4,87,16.776666666666667
Tuluá,4,28.57,71.43,2,5,0,0,0,0,0,0,26,33,16.156666666666666
Unión Panamericana,1,0.0,0.0,11,4,0,0,1,12,19,0,5,52,15.22
Colosó,1,100.0,0.0,3,8,7,2,3,7,28,5,9,72,15.16
Pensilvania,1,100.0,0.0,1,0,0,0,0,0,2,2,17,22,14.883333333333333
San Cayetano,1,0.0,100.0,1,0,0,0,0,3,16,3,9,32,12.696333333333333
Maceo,1,100.0,0.0,0,0,0,0,0,2,10,3,2,17,12.470555555555555
Córdoba,1,66.67,33.33,0,0,0,0,0,5,16,2,6,29,12.113333333333333
San Alberto,1,50.0,50.0,0,6,6,1,1,2,6,27,2,51,11.366666666666667
Caucasia,2,0.0,66.67,3,5,5,0,2,9,3,4,5,36,10.123333333333333
Paz de Ariporo,2,66.67,33.33,26,0,0,0,0,0,0,11,14,51,9.533333333333333
Becerril,1,0.0,100.0,14,0,1,1,2,0,11,2,1,32,9.122777777777777
Retiro,2,0.0,100.0,2,0,0,3,0,4,5,9,0,23,9.023333333333333
Orocué,1,0.0,100.0,2,1,1,0,0,0,0,4,12,20,8.493555555555556
Arboledas,1,100.0,0.0,0,0,2,0,2,9,9,6,1,29,7.574666666666667
La Jagua del Pilar,1,100.0,0.0,0,2,2,0,0,0,2,0,4,10,7.543333333333333
Puerto López,3,33.33,66.67,14,0,9,0,0,0,0,0,0,23,6.576666666666667
Pore,2,50.0,50.0,1,0,1,0,0,0,0,4,13,19,6.036666666666667
Mosquera,2,0.0,100.0,0,2,3,0,5,1,4,0,0,15,5.496666666666667
Mistrató,2,100.0,0.0,0,1,2,0,1,0,2,0,4,10,5.3585
La Dorada,4,11.11,88.89,4,2,2,0,4,0,1,0,0,13,5.226666666666667
Necoclí,1,0.0,100.0,0,0,5,0,0,2,1,0,0,8,4.886666666666667
Pasto,2,75.0,25.0,4,0,0,0,0,23,0,0,2,29,4.765
Carmen de Viboral,6,100.0,0.0,0,0,0,0,5,0,7,0,0,12,4.5151111111111115
Toluviejo,1,0.0,100.0,0,1,1,0,0,7,7,2,0,18,4.35
Ríofrío,1,20.0,80.0,1,3,0,0,0,0,2,0,2,8,3.724
Sevilla,2,0.0,100.0,0,4,1,0,2,0,0,0,0,7,3.6666666666666665
Salgar,1,0.0,100.0,0,2,0,0,1,2,6,0,0,11,3.4766666666666666
Cartagena de Indias,1,100.0,0.0,0,0,0,1,0,9,0,1,5,16,3.157
Medellín,7,30.0,40.0,0,0,0,0,0,0,5,13,0,18,3.1266666666666665
Anzoátegui,1,0.0,100.0,2,0,0,1,0,0,0,0,5,8,2.7633968253968253
Los Andes,1,0.0,100.0,5,0,3,2,1,7,2,0,0,20,2.7133333333333334
Caicedo,1,100.0,0.0,0,0,1,2,0,0,2,0,0,5,2.6034285714285716
