municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct,pred_alertas_2026
Arboledas,0,0,2,0,2,9,9,6,1,29,1.0,100.0,0.0,21.97
Curumaní,4,14,24,2,0,2,32,10,18,106,2.0,8.33,91.67,21.953333333333333
Vélez,0,0,0,1,2,30,36,14,4,87,1.0,100.0,0.0,21.753333333333334
Roberto Payán,86,22,7,1,11,52,68,22,13,282,0.0,0.0,0.0,21.33
Barrancas,1,16,17,2,0,12,21,2,12,83,0.0,0.0,0.0,21.003333333333334
Milán,19,1,15,2,4,9,123,21,23,217,0.0,0.0,0.0,20.996666666666666
Morales,17,5,15,1,1,49,42,4,11,145,0.0,0.0,0.0,20.01
ETI Isana y Surubí,0,0,7,5,12,29,41,36,9,139,0.0,0.0,0.0,20.006666666666668
El Playón,9,3,0,0,4,58,66,33,10,183,0.0,0.0,0.0,19.843333333333334
Betulia,1,0,3,0,4,13,24,28,18,91,3.0,71.43,28.57,19.46
El Doncello,8,0,6,1,0,0,17,14,31,77,0.0,0.0,0.0,19.233333333333334
San Luis de Palenque,4,0,0,0,0,0,0,25,15,44,2.0,91.67,8.33,19.046666666666667
Cértegui,12,12,2,5,0,18,16,6,8,79,0.0,0.0,0.0,18.84
Curillo,38,5,30,22,2,21,29,25,6,178,0.0,0.0,0.0,18.80666666666667
Ábrego,1,1,1,1,5,40,24,37,14,124,0.0,0.0,0.0,18.68
Caracolí,0,0,7,2,3,3,52,51,25,143,0.0,0.0,0.0,18.336666666666666
Rio Iró,4,5,2,4,8,49,7,17,6,102,0.0,0.0,0.0,18.266666666666666
San Calixto,4,0,8,6,6,3,8,8,5,48,0.0,0.0,0.0,17.793333333333333
Atrato,14,44,4,0,1,7,4,5,7,86,0.0,0.0,0.0,17.41
Nuquí,14,55,12,25,7,15,34,37,8,207,0.0,0.0,0.0,17.333333333333332
ETI del Río Tiquié,0,0,0,19,4,4,39,10,12,88,0.0,0.0,0.0,17.31
Chimichagua,0,1,4,1,0,1,28,0,8,43,2.0,57.14,35.71,17.19333333333333
Fonseca,0,1,1,0,0,1,9,1,18,31,0.0,0.0,0.0,17.093333333333334
Turbo,2,0,7,6,0,8,17,5,3,48,3.0,6.52,89.13,16.433333333333334
Suárez,1,6,6,0,0,7,1,0,6,27,0.0,0.0,0.0,16.17
Paz de Ariporo,26,0,0,0,0,0,0,11,14,51,2.0,66.67,33.33,15.97
San Roque,0,0,1,2,3,17,16,12,7,58,0.0,0.0,0.0,15.86
Chiriguaná,2,2,0,2,1,12,11,0,6,36,0.0,0.0,0.0,15.713333333333333
San Juan del Cesar,0,1,3,6,0,1,4,0,6,21,0.0,0.0,0.0,15.63
Pore,1,0,1,0,0,0,0,4,13,19,2.0,50.0,50.0,15.566666666666666
Hacarí,0,1,18,8,0,4,15,4,4,54,0.0,0.0,0.0,15.396666666666667
Arenal,1,2,7,10,1,14,29,22,5,91,0.0,0.0,0.0,15.156666666666666
Saravena,5,0,6,0,11,3,16,3,17,61,0.0,0.0,0.0,14.893333333333333
Sácama,1,3,4,0,2,2,12,2,10,36,0.0,0.0,0.0,14.863333333333333
Unión Panamericana,11,4,0,0,1,12,19,0,5,52,1.0,0.0,0.0,14.65
El Paujil,6,2,13,0,3,7,26,44,35,136,0.0,0.0,0.0,14.56
Bucarasica,0,0,0,0,1,12,8,3,4,28,0.0,0.0,0.0,14.21
Durania,2,0,0,0,1,3,25,9,19,59,0.0,0.0,0.0,14.193333333333333
San Juan de Arama,15,8,3,6,4,6,1,43,1,87,0.0,0.0,0.0,14.106666666666667
Pensilvania,1,0,0,0,0,0,2,2,17,22,1.0,100.0,0.0,13.8
La Jagua de Ibirico,10,5,9,1,0,0,14,4,7,50,1.0,0.0,100.0,13.79
Mahates,0,8,10,2,7,0,17,1,1,46,0.0,0.0,0.0,13.76
Zambrano,0,4,4,2,3,38,45,3,3,102,0.0,0.0,0.0,13.64
San Alberto,0,6,6,1,1,2,6,27,2,51,1.0,50.0,50.0,13.186666666666667
Puerto López,14,0,9,0,0,0,0,0,0,23,3.0,33.33,66.67,13.04
Pueblo Rico,0,2,2,0,2,0,24,0,11,41,0.0,0.0,0.0,12.916666666666666
Fortul,1,0,0,2,4,3,3,7,19,39,0.0,0.0,0.0,12.893333333333333
ETI del Alto Guainía,0,0,0,2,22,16,57,15,3,115,0.0,0.0,0.0,12.88
Los Andes,5,0,3,2,1,7,2,0,0,20,1.0,0.0,100.0,12.455555555555556
San José de Uré,5,6,1,0,9,58,7,5,5,96,2.0,33.33,66.67,12.343333333333334
Cumbal,7,4,0,1,6,22,49,30,6,125,0.0,0.0,0.0,12.343333333333334
ETI de Papunahua,0,0,0,9,1,2,2,0,0,14,0.0,0.0,0.0,12.221076719576718
Achí,0,0,1,3,0,0,1,0,0,5,0.0,0.0,0.0,11.99823148148148
ETI Ancestral  Atabapo e Inírida,1,0,0,4,1,10,11,5,1,33,0.0,0.0,0.0,11.981785714285714
Orocué,2,1,1,0,0,0,0,4,12,20,1.0,0.0,100.0,11.807730158730159
Calima,2,0,0,0,1,8,1,2,7,21,1.0,50.0,50.0,11.784722222222223
San Cayetano,1,0,0,0,0,3,16,3,9,32,1.0,0.0,100.0,11.768333333333333
Caucasia,3,5,5,0,2,9,3,4,5,36,2.0,0.0,66.67,11.74
El Cantón del San Pablo,29,14,5,5,1,5,33,7,8,107,0.0,0.0,0.0,11.6
Ocaña,2,0,0,0,0,17,11,4,6,40,0.0,0.0,0.0,11.526666666666667
Trinidad,4,0,0,0,0,0,0,2,29,35,0.0,0.0,0.0,11.37
