municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct,pred_alertas_2026
López - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Macaravita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sutamarchán,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sutatausa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sutatenza,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Suán,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sáchica,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tabio,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Soledad,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Somondoco,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Soplaviento,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chivatá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chivolo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Choachí,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ancuya,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Cisneros,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sopó,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Siachoque,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sibaté,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Silos,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Simijaca,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sitionuevo - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ragonvalia,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Natagaima,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Mutiscua,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Roldanillo,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Don Matias,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Gutiérrez,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Socha,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cogua,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Malambo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Manatí,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Machetá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Gámeza,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Güepsa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Hatillo de Loba,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Buenaventura - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Magangué,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Majagual,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santa Lucía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Coveñas,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Santa Marta - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santa Rosa de Viterbo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santa Rosalía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santa Sofía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santo Tomás,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sapuyes,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sativanorte,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sativasur,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sesquilé,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santa Bárbara - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santa Catalina - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ciénaga - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ciénega,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Pradera,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
El Peñol,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
El Espino,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Pácora,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Guaitarilla,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
El Calvario,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Coello,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Uribia,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Uribia - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Valle de San Juan,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Venadillo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ventaquemada,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Vetas,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Piedras,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Viotá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Fómeque,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Girardot,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Almeida,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Villavieja,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Íquira,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
San Onofre - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Pedro,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Santander de Quilichao,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Manaure - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Manta,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Manzanares,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Margarita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Marquetalia,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Betéitiva,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Arboletes - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Alcalá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Zetaquira,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Zapayán,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Capilla,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ubaté,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Une,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Unguía - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Imués,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Itagüí,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Iza,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Peñol,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Palmar de Varela,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Palmito,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Pandi,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Panqueba,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Barranquilla,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Barranquilla - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Belén,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cotorra,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Covarachía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Coveñas - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Coyaima,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Manaure,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Piojó - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Elías,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Encino,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Enciso,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Belén de Umbría,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Alpujarra,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Altamira,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Alvarado,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Gachantivá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Galapa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ginebra,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Palmar,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Berbeo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Paz de Río,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Floresta,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Iles,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Pedro de Cartago,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Arbeláez,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Arboleda,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Contadero,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Coper,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Corinto,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Corozal,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Corrales,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Florida,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Fosca,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Francisco Pizarro - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Fredonia,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Piendamó,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Pinillos,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Fúquene,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Gachancipá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Olaya,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Olaya Herrera - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Oporapa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ospina,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Padilla,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Paicol,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Palermo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Firavitoba,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Flandes,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Pital,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Bituima,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Boavita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guamo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Puerto Tejada,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Pupiales,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Polonuevo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ponedera,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Popayán,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Charco - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Cocuy,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Colegio,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Puebloviejo - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Puerto Colombia - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Puerto Escondido,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Litoral del San Juán - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Paso,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Piñón,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Retén,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Espinal,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Quipile,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ramiriquí,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Recetor,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
El Roble,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Puerto Escondido - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Obando,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Oicatá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guacamayas,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guachené,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guachetá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guachucal,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Gualmatán,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Nuevo Colón,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Nuquí - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Nátaga,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Puerto Santander,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Barichara,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Risaralda,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
California,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Caloto,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Campo de La Cruz,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Candelaria,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Agua de Dios,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Aipe,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Albán,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Almaguer,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Antero - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Antonio,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Benito,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guapi - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guapotá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guaranda,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Viracachá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Puracé,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Purificación,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Purísima,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Málaga,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Necoclí - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Nilo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Nobsa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Páramo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Quetame,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cucaita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cucunubá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cuaspud,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Fernando,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San José de Miranda,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Juan de Betulia,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Juan de Rioseco,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Juan de Urabá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Juan de Urabá - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Lorenzo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Mateo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Astrea,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Bahía Solano - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Bajo Baudó - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Mompós,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Monguí,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Andrés de Sotavento,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Mosquera - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Motavita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Moñitos,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Moñitos - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Rosas,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ráquira,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ríohacha - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sabanagrande,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sabaneta,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Dibulla - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Dosquebradas,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cajicá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guicán,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Cristóbal,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Eduardo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Mesa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Zipaquirá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Acandí - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Juan de Acosta - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Apartada,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Argentina,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Yaguará,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Algarrobo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Villapinzón,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Zipacón,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tumaco - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tunja,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Turbana - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Jambaló,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Jenesano,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Merced,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Carcasí,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cartagena de Indias - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Carmen de Carupa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tutazá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tuta,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Turmequé,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Palma,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Aldana,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Villa Rica,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Villa del Rosario,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Villagómez,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Úmbita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Agrado,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Anapoima,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cepitá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Capitanejo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Rio de Oro,0,0,0,0,0,1,2,0,0,3,1.0,80.0,20.0,0.07666666666666666
San Bernardo,0,1,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.07569901651030446
Caparrapí,0,0,0,0,1,0,0,3,0,4,1.0,50.0,50.0,0.07
Junín,4,0,0,0,0,0,0,0,0,4,2.0,90.0,0.0,0.0653282550782551
Chaguaní,0,0,0,0,0,0,0,0,0,0,3.0,100.0,0.0,0.06247269397269398
Cocorná,0,0,0,0,0,0,1,0,0,1,2.0,27.27,72.73,0.06
Baranoa,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.054357308781421664
Bosconia,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.054357308781421664
Caldono,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.054357308781421664
Paipa,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.054357308781421664
Plato,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.054357308781421664
Pijiño del Carmen,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.054357308781421664
Providencia,3,0,1,0,0,0,0,0,0,4,0.0,0.0,0.0,0.054357308781421664
Santa Ana,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.054357308781421664
El Dorado,0,0,0,0,0,0,2,0,0,2,0.0,0.0,0.0,0.05362424242424242
Neiva,7,0,0,0,0,0,2,0,0,9,0.0,0.0,0.0,0.05362424242424242
Jericó,0,0,0,0,0,1,2,0,0,3,2.0,0.0,100.0,0.05333333333333334
