departamento,municipio,riqueza_especies,especies_CR,especies_EN,especies_VU,indice_amenaza,indice_biodiversidad,pct_bosque,pct_palma,pct_agro,pct_otras,anp,resguardo,dist_glad_media,glad_presion
Huila,Palestina,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,832.4,0.0011999040076793857
Huila,Pitalito,2,0,1,1,3,6,1.0,0.0,0.0,0.0,0,0,2079.45,0.0004806652406931193
Huila,Saladoblanco,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,6527.450000000001,0.0001531757155220611
Huila,San Agustín,3,0,1,2,4,12,1.0,0.0,0.0,0.0,1,0,8691.066666666668,0.0001150474378935581
Huila,Tarqui,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,1511.4,0.0006612007405448294
La Guajira,Dibulla,2,0,2,0,4,8,0.5416666666666666,0.0,0.4583333333333333,5.551115123125783e-17,0,1,9772.158333333333,0.00010232106816373759
La Guajira,La Jagua del Pilar,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,10797.785714285714,9.26030043060397e-05
La Guajira,Villanueva,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,24614.8,4.062431446469341e-05
Magdalena,Ciénaga,1,0,1,0,2,2,0.9333333333333333,0.0,0.0,0.06666666666666665,1,1,4578.066666666668,0.00021838511487057033
Magdalena,El Banco,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,60977.5,1.6399222676845116e-05
Magdalena,Pedraza,1,0,1,0,2,2,0.0,0.0,0.0,1.0,0,0,41019.5,2.4378054875001525e-05
Magdalena,Pivijay,1,0,1,0,2,2,0.3333333333333333,0.0,0.6666666666666666,1.1102230246251565e-16,0,0,22501.266666666666,4.443996752919706e-05
Magdalena,Puebloviejo,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,5921.9,0.0001688362119907478
Magdalena,Santa Marta,2,0,2,0,4,8,0.9166666666666666,0.0,0.08333333333333333,4.163336342344337e-17,1,0,4714.662500000001,0.00021205928117205158
Magdalena,Tenerife,1,0,1,0,2,2,0.16666666666666666,0.0,0.0,0.8333333333333334,0,0,56779.85,1.7611571506942924e-05
Magdalena,Zona Bananera,1,0,1,0,2,2,0.9,0.0,0.1,-2.7755575615628914e-17,0,0,15083.4,6.629365437140358e-05
Meta,Barranca de Upía,1,0,0,1,1,1,0.38235294117647056,0.35294117647058826,0.029411764705882353,0.23529411764705882,0,0,22158.561764705883,4.512724622527176e-05
Meta,Puerto Gaitán,2,0,1,1,3,6,0.1,0.0,0.0,0.9,0,0,5197.1,0.00019237798426348086
Meta,Puerto López,3,2,1,0,8,24,0.0,0.0,0.75,0.25,0,0,10971.425,9.11375561919995e-05
Meta,Restrepo,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,6362.8,0.00015713881643043465
Meta,San Juanito,3,0,2,1,5,15,0.7578419071518193,0.0,0.24215809284818068,0.0,1,0,9517.890150564617,0.00010505426411929805
Meta,Uribe,1,0,0,1,1,1,1.0,0.0,0.0,0.0,1,0,7602.8,0.00013151319077303454
Meta,Villavicencio,2,0,1,1,3,6,0.5,0.0,0.5,0.0,0,0,13480.25,7.417709782104775e-05
Meta,Vistahermosa,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,3924.7,0.00025473164021703136
Nariño,Barbacoas,2,0,1,1,3,6,1.0,0.0,0.0,0.0,0,0,4813.528571428571,0.00020770465584822131
Nariño,Consacá,1,0,1,0,2,2,1.0,0.0,0.0,0.0,1,0,20498.1,4.878262948129431e-05
Nariño,Los Andes,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,4523.2,0.00022103355289332922
Nariño,Pasto,2,0,0,2,2,4,0.7857142857142857,0.0,0.21428571428571427,2.7755575615628914e-17,1,0,15080.414285714287,6.630677873143765e-05
Nariño,Ricaurte,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,1927.2,0.0005186184005808525
Nariño,Santa Bárbara,1,0,1,0,2,2,0.0,0.0,0.0,1.0,0,0,5431.8,0.0001840671476954793
Nariño,Tumaco,3,0,3,0,6,18,0.0,0.46153846153846156,0.38461538461538464,0.1538461538461538,0,0,8378.946153846155,0.0001193325090210787
Norte de Santander,Arboledas,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,14459.6,6.915342378601165e-05
Norte de Santander,Bochalema,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,24052.4,4.157416415142973e-05
Norte de Santander,Cáchira,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,2966.5,0.00033698399326032014
Norte de Santander,El Carmen,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,1003.3,0.0009957184108334164
Norte de Santander,Herrán,1,0,0,1,1,1,0.0,0.0,1.0,0.0,1,0,20042.1,4.989248170193234e-05
Norte de Santander,Tibú,1,0,0,1,1,1,0.0,1.0,0.0,0.0,0,0,13790.3,7.250948061459036e-05
Norte de Santander,Toledo,4,0,1,3,5,20,0.6190476190476191,0.0,0.38095238095238093,0.0,0,1,7771.666666666667,0.0001286559739257226
Norte de Santander,Villa Caro,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,9822.8,0.00010179360328996927
Putumayo,Mocoa,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,1,1664.2,0.0006005284650492433
Putumayo,Puerto Asís,1,0,1,0,2,2,0.0,0.0,0.0,1.0,0,0,1830.4,0.0005460303592879764
Putumayo,Puerto Leguízamo,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,271.8,0.003665689149560117
Putumayo,San Francisco,5,1,2,2,9,45,0.9758064516129032,0.0,0.024193548387096774,-2.0816681711721685e-17,1,1,5978.208870967742,0.00016724620624235676
Putumayo,Santiago,3,0,1,2,4,12,0.8,0.0,0.2,-5.551115123125783e-17,0,0,19505.28,5.126554114879926e-05
Putumayo,Sibundoy,2,0,0,2,2,4,0.3875,0.0,0.6,0.012500000000000067,0,1,10383.284375,9.62993658385824e-05
Quindío,Armenia,3,0,2,1,5,15,0.0,0.0,0.3333333333333333,0.6666666666666667,0,0,17655.766666666666,5.663551084286855e-05
Quindío,Calarcá,2,0,2,0,4,8,0.125,0.0,0.5,0.375,0,0,10977.75,9.108505066605943e-05
Quindío,Circasia,3,0,2,1,5,15,0.0,0.0,1.0,0.0,0,0,19047.525,5.24975030875094e-05
Quindío,Córdoba,1,0,1,0,2,2,0.6666666666666666,0.0,0.3333333333333333,5.551115123125783e-17,0,0,5220.533333333334,0.00019151462533355463
