LEVEL_3,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
ETI Isana y Surubí,0,0,7,5,12,29,41,36,9,139
El Paujil,6,2,13,0,3,7,26,44,35,136
Támara,11,2,3,0,6,8,14,0,90,134
Cumbal,7,4,0,1,6,22,49,30,6,125
Olaya Herrera,35,0,5,19,13,27,22,1,2,124
Ábrego,1,1,1,1,5,40,24,37,14,124
Cubará,3,0,4,0,1,7,18,38,52,123
Landázuri,4,0,2,5,4,39,37,12,20,123
Toledo,7,2,1,0,15,29,7,39,20,120
ETI del Alto Guainía,0,0,0,2,22,16,57,15,3,115
El Rosario,11,9,23,23,2,31,12,4,0,115
Agustín Codazzi,10,12,26,14,0,1,24,12,9,108
El Cantón del San Pablo,29,14,5,5,1,5,33,7,8,107
Curumaní,4,14,24,2,0,2,32,10,18,106
Rio Iró,4,5,2,4,8,49,7,17,6,102
Zambrano,0,4,4,2,3,38,45,3,3,102
San Martín,23,4,32,2,2,18,14,1,5,101
Pueblo Bello,1,2,6,12,0,3,16,16,44,100
San José de Uré,5,6,1,0,9,58,7,5,5,96
Dagua,13,20,1,0,1,19,18,7,15,94
María La Baja,0,17,20,17,8,0,24,3,3,92
Girón,0,0,2,0,5,15,27,23,20,92
Arenal,1,2,7,10,1,14,29,22,5,91
Betulia,1,0,3,0,4,13,24,28,18,91
Hato Corozal,15,3,5,0,0,1,5,20,41,90
Tadó,3,2,3,0,8,15,13,30,16,90
ETI del Río Tiquié,0,0,0,19,4,4,39,10,12,88
Vélez,0,0,0,1,2,30,36,14,4,87
San Juan de Arama,15,8,3,6,4,6,1,43,1,87
Atrato,14,44,4,0,1,7,4,5,7,86
Barrancas,1,16,17,2,0,12,21,2,12,83
El Copey,0,1,19,10,2,5,11,15,16,79
Cértegui,12,12,2,5,0,18,16,6,8,79
Policarpa,13,9,21,9,3,14,7,0,1,77
El Doncello,8,0,6,1,0,0,17,14,31,77
Cumbitara,9,4,20,22,1,13,4,0,3,76
San Jacinto del Cauca,9,4,2,6,8,13,11,5,16,74
Colosó,3,8,7,2,3,7,28,5,9,72
Barranco de Loba,0,0,26,3,3,0,31,7,0,70
ETI PANI,0,0,1,14,4,3,28,0,20,70
Puerto Nare,2,0,2,5,3,15,10,13,19,69
Altos del Rosario,0,0,20,1,5,0,32,8,0,66
Puerto Boyacá,0,0,5,5,5,3,8,15,21,62
Saravena,5,0,6,0,11,3,16,3,17,61
Chalán,1,5,4,3,4,1,29,4,9,60
Maicao,0,5,8,0,0,0,46,1,0,60
San Rafael,2,0,5,3,10,16,6,4,13,59
Durania,2,0,0,0,1,3,25,9,19,59
Santiago,0,0,0,1,1,11,11,16,18,58
San Roque,0,0,1,2,3,17,16,12,7,58
Hacarí,0,1,18,8,0,4,15,4,4,54
Albania,12,1,1,2,5,10,17,5,0,53
Unión Panamericana,11,4,0,0,1,12,19,0,5,52
San Alberto,0,6,6,1,1,2,6,27,2,51
Paz de Ariporo,26,0,0,0,0,0,0,11,14,51
Samaná,1,0,4,6,32,2,4,2,0,51
La Jagua de Ibirico,10,5,9,1,0,0,14,4,7,50
Turbo,2,0,7,6,0,8,17,5,3,48
San Calixto,4,0,8,6,6,3,8,8,5,48
Mahates,0,8,10,2,7,0,17,1,1,46
ETI La Victoria,0,0,0,8,12,3,10,6,5,44
San Luis de Palenque,4,0,0,0,0,0,0,25,15,44
Chaparral,1,0,3,0,0,1,0,0,39,44
Chimichagua,0,1,4,1,0,1,28,0,8,43
La Gloria,0,1,3,3,0,0,19,6,10,42
Pueblo Rico,0,2,2,0,2,0,24,0,11,41
Ocaña,2,0,0,0,0,17,11,4,6,40
Fortul,1,0,0,2,4,3,3,7,19,39
Cubarral,6,1,5,0,0,0,1,24,2,39
Valencia,1,0,1,4,1,1,3,28,0,39
Pailitas,0,2,7,2,0,3,17,6,1,38
Chiriguaná,2,2,0,2,1,12,11,0,6,36
Caucasia,3,5,5,0,2,9,3,4,5,36
Morelia,4,0,6,0,1,3,12,4,6,36
Sácama,1,3,4,0,2,2,12,2,10,36
Trinidad,4,0,0,0,0,0,0,2,29,35
Apartadó,1,0,6,4,0,11,9,3,0,34
Tuluá,2,5,0,0,0,0,0,0,26,33
Samaniego,17,0,1,0,2,5,7,0,1,33
ETI Ancestral  Atabapo e Inírida,1,0,0,4,1,10,11,5,1,33
San Cayetano,1,0,0,0,0,3,16,3,9,32
Becerril,14,0,1,1,2,0,11,2,1,32
Fonseca,0,1,1,0,0,1,9,1,18,31
Salazar,0,0,0,0,1,5,7,3,14,30
Pasto,4,0,0,0,0,23,0,0,2,29
Morroa,0,1,0,0,0,3,25,0,0,29
Córdoba,0,0,0,0,0,5,16,2,6,29
Pelaya,0,2,3,1,0,1,10,12,0,29
Arboledas,0,0,2,0,2,9,9,6,1,29
Bucarasica,0,0,0,0,1,12,8,3,4,28
Labranzagrande,6,0,0,0,0,1,0,0,21,28
Suárez,1,6,6,0,0,7,1,0,6,27
Lejanías,1,4,3,0,1,0,3,11,0,23
Retiro,2,0,0,3,0,4,5,9,0,23
Yacopí,1,0,0,0,4,0,12,6,0,23
Buenos Aires,3,3,0,0,0,2,5,0,10,23
Puerto López,14,0,9,0,0,0,0,0,0,23
El Molino,0,0,0,1,0,0,6,0,16,23
Abriaquí,2,1,0,0,0,11,6,2,0,22
Pensilvania,1,0,0,0,0,0,2,2,17,22
Pauna,1,0,2,5,1,1,5,1,6,22
Aguachica,0,0,5,2,1,2,7,1,3,21
Francisco Pizarro,7,0,0,2,0,5,7,0,0,21
Santa Cruz,11,0,2,1,1,3,3,0,0,21
Calima,2,0,0,0,1,8,1,2,7,21
San Juan del Cesar,0,1,3,6,0,1,4,0,6,21
Los Andes,5,0,3,2,1,7,2,0,0,20
Orocué,2,1,1,0,0,0,0,4,12,20
Valdivia,3,0,5,2,3,0,7,0,0,20
San Pablo de Borbur,2,0,10,1,1,1,4,0,0,19
Sabanas de San Ángel,0,0,3,0,0,0,0,16,0,19
Aguazul,1,0,0,0,0,2,0,9,7,19
Pore,1,0,1,0,0,0,0,4,13,19
Mallama,2,0,4,0,0,2,8,1,2,19
Acacías,8,0,11,0,0,0,0,0,0,19
Urumita,0,1,1,8,0,0,8,0,1,19
Medellín,0,0,0,0,0,0,5,13,0,18
Lourdes,0,0,1,0,1,3,9,3,1,18
Toluviejo,0,1,1,0,0,7,7,2,0,18
Villahermosa,1,0,1,0,0,0,0,0,15,17
Maceo,0,0,0,0,0,2,10,3,2,17
Gámbita,4,0,0,0,3,6,0,2,2,17
Tauramena,6,0,0,0,0,1,0,3,7,17
Zapatoca,0,0,1,0,2,2,4,3,4,16
Cartagena de Indias,0,0,0,1,0,9,0,1,5,16
Ríoblanco,1,0,1,1,0,1,0,1,11,16
Planadas,6,0,0,6,0,0,0,0,4,16
Leiva,4,10,0,0,0,1,1,0,0,16
Repelón,0,0,0,0,1,3,0,6,6,16
Mosquera,0,2,3,0,5,1,4,0,0,15
Matanza,0,1,0,0,1,1,3,9,0,15
Colón,0,0,0,0,0,15,0,0,0,15
Charalá,1,0,0,0,0,4,4,6,0,15
ETI de Papunahua,0,0,0,9,1,2,2,0,0,14
Juan de Acosta,0,0,0,0,1,13,0,0,0,14
Contratación,0,0,0,0,0,6,5,0,3,14
Paya,6,0,1,0,0,3,0,0,4,14
Pisva,7,0,0,0,2,1,1,1,2,14
La Dorada,4,2,2,0,4,0,1,0,0,13
Balboa,3,0,1,0,0,0,1,1,7,13
Maní,3,0,0,0,0,0,0,4,6,13
Los Patios,0,0,0,0,0,0,2,1,10,13
Gachalá,13,0,0,0,0,0,0,0,0,13
Sopetrán,0,0,0,0,0,0,4,8,0,12
Florián,0,0,1,0,2,1,6,1,1,12
Colombia,10,1,0,0,1,0,0,0,0,12
Trujillo,1,8,0,1,0,0,2,0,0,12
Carmen de Viboral,0,0,0,0,5,0,7,0,0,12
El Castillo,3,1,0,0,0,0,6,1,0,11
Bugalagrande,0,11,0,0,0,0,0,0,0,11
Briceño,0,0,0,2,0,3,5,1,0,11
Salgar,0,2,0,0,1,2,6,0,0,11
Campoalegre,11,0,0,0,0,0,0,0,0,11
Baraya,11,0,0,0,0,0,0,0,0,11
Quípama,0,0,7,1,0,1,0,0,2,11
Chita,3,0,0,1,0,1,0,3,3,11
La Tola,3,0,0,2,0,4,2,0,0,11
Casabianca,0,0,0,0,0,0,0,0,11,11
Ibagué,3,0,0,0,2,0,0,0,5,10
Cañasgordas,3,0,0,2,1,1,2,1,0,10
